"","Samples","class"
"16","SRR5103835.A01.htseq","SI.Early.Enterocyte"
"194","SRR5102521.A01.htseq","SI.Enterocyte.Progenitor"
"1208","SRR5103829.A01.htseq","SI.TA.Cells"
"639","SRR5103758.A01.htseq","SI.Paneth"
"437","SRR5103295.A01.htseq","SI.Goblet"
"722","NJA00102.B01.htseq","SI.Stem"
"195","SRR5103630.A01.htseq","SI.Enterocyte.Progenitor"
"196","SRR5103720.A01.htseq","SI.Enterocyte.Progenitor"
"723","SRR5102541.A01.htseq","SI.Stem"
"438","SRR5103305.A01.htseq","SI.Goblet"
"439","SRR5102014.A01.htseq","SI.Goblet"
"440","SRR5103486.A01.htseq","SI.Goblet"
"1209","SRR5102141.A01.htseq","SI.TA.Cells"
"1210","SRR5102818.A01.htseq","SI.TA.Cells"
"724","SRR5102687.A01.htseq","SI.Stem"
"725","SRR5103413.A01.htseq","SI.Stem"
"726","SRR5102570.A01.htseq","SI.Stem"
"197","SRR5102633.A01.htseq","SI.Enterocyte.Progenitor"
"198","SRR5102503.A01.htseq","SI.Enterocyte.Progenitor"
"727","SRR5102548.A01.htseq","SI.Stem"
"728","SRR5102538.A01.htseq","SI.Stem"
"1211","NJA00104.H06.htseq","SI.TA.Cells"
"17","SRR5103237.A01.htseq","SI.Early.Enterocyte"
"729","SRR5102888.A01.htseq","SI.Stem"
"730","SRR5102735.A01.htseq","SI.Stem"
"1212","SRR5102439.A01.htseq","SI.TA.Cells"
"1213","SRR5102833.A01.htseq","SI.TA.Cells"
"731","SRR5102556.A01.htseq","SI.Stem"
"1214","SRR5102514.A01.htseq","SI.TA.Cells"
"199","SRR5103014.A01.htseq","SI.Enterocyte.Progenitor"
"1215","SRR5102056.A01.htseq","SI.TA.Cells"
"1775","SRR5102912.A01.htseq","SI.Tuft.Cells"
"18","SRR5103489.A01.htseq","SI.Early.Enterocyte"
"732","SRR5103384.A01.htseq","SI.Stem"
"733","SRR5103405.A01.htseq","SI.Stem"
"200","SRR5102978.A01.htseq","SI.Enterocyte.Progenitor"
"1776","SRR5102441.A01.htseq","SI.Tuft.Cells"
"1703","NJA00109.F10.htseq","C.Stem"
"734","SRR5102599.A01.htseq","SI.Stem"
"1216","SRR5103810.A01.htseq","SI.TA.Cells"
"640","SRR5102781.A01.htseq","SI.Paneth"
"1217","NJA00103.D10.htseq","SI.TA.Cells"
"641","SRR5103126.A01.htseq","SI.Paneth"
"201","SRR5102407.A01.htseq","SI.Enterocyte.Progenitor"
"1632","GFPpos.C1.Singlet.4.G10.htseq","C.Colonocytes"
"573","NJA00102.C11.htseq","SI.Late.Enterocyte"
"441","SRR5103154.A01.htseq","SI.Goblet"
"735","SRR5102594.A01.htseq","SI.Stem"
"1869","GFPneg.SI1.Singlet.2.C3.htseq","Blood.Cells"
"19","SRR5103806.A01.htseq","SI.Early.Enterocyte"
"736","SRR5103406.A01.htseq","SI.Stem"
"737","SRR5102638.A01.htseq","SI.Stem"
"1218","NJA00104.H09.htseq","SI.TA.Cells"
"20","SRR5103340.A01.htseq","SI.Early.Enterocyte"
"202","GFPneg.SI1.Singlet.2.D3.htseq","SI.Enterocyte.Progenitor"
"203","SRR5103236.A01.htseq","SI.Enterocyte.Progenitor"
"738","SRR5103537.A01.htseq","SI.Stem"
"1704","GFPneg.C1.Singlet.4.F3.htseq","C.Stem"
"204","SRR5103300.A01.htseq","SI.Enterocyte.Progenitor"
"739","SRR5103046.A01.htseq","SI.Stem"
"442","SRR5102609.A01.htseq","SI.Goblet"
"574","NJA00103.G07.htseq","SI.Late.Enterocyte"
"740","SRR5102462.A01.htseq","SI.Stem"
"1219","SRR5103129.A01.htseq","SI.TA.Cells"
"1220","SRR5102937.A01.htseq","SI.TA.Cells"
"741","SRR5102967.A01.htseq","SI.Stem"
"205","SRR5103729.A01.htseq","SI.Enterocyte.Progenitor"
"206","SRR5102468.A01.htseq","SI.Enterocyte.Progenitor"
"443","SRR5103602.A01.htseq","SI.Goblet"
"1221","SRR5102677.A01.htseq","SI.TA.Cells"
"742","SRR5102580.A01.htseq","SI.Stem"
"575","NJA00103.E07.htseq","SI.Late.Enterocyte"
"743","SRR5102695.A01.htseq","SI.Stem"
"444","SRR5102767.A01.htseq","SI.Goblet"
"1222","SRR5102079.A01.htseq","SI.TA.Cells"
"401","SRR5102402.A01.htseq","SI.Enteroendocrine"
"21","GFPneg.SI1.Singlet.2.A3.htseq","SI.Early.Enterocyte"
"1223","SRR5102776.A01.htseq","SI.TA.Cells"
"744","SRR5102543.A01.htseq","SI.Stem"
"1224","SRR5102406.A01.htseq","SI.TA.Cells"
"1225","NJA00103.B01.htseq","SI.TA.Cells"
"745","SRR5102837.A01.htseq","SI.Stem"
"445","SRR5102484.A01.htseq","SI.Goblet"
"446","SRR5103751.A01.htseq","SI.Goblet"
"1661","NJA00109.H06.htseq","C.Goblet"
"642","SRR5103676.A01.htseq","SI.Paneth"
"207","SRR5103193.A01.htseq","SI.Enterocyte.Progenitor"
"1226","SRR5102973.A01.htseq","SI.TA.Cells"
"1227","SRR5102135.A01.htseq","SI.TA.Cells"
"447","SRR5103518.A01.htseq","SI.Goblet"
"746","SRR5102144.A01.htseq","SI.Stem"
"448","SRR5102645.A01.htseq","SI.Goblet"
"747","SRR5103605.A01.htseq","SI.Stem"
"1705","NJA00109.B08.htseq","C.Stem"
"22","SRR5102505.A01.htseq","SI.Early.Enterocyte"
"1228","NJA00102.A07.htseq","SI.TA.Cells"
"1229","SRR5103036.A01.htseq","SI.TA.Cells"
"576","NJA00102.E05.htseq","SI.Late.Enterocyte"
"643","SRR5103264.A01.htseq","SI.Paneth"
"449","SRR5102961.A01.htseq","SI.Goblet"
"748","SRR5102563.A01.htseq","SI.Stem"
"1230","SRR5102764.A01.htseq","SI.TA.Cells"
"23","SRR5102436.A01.htseq","SI.Early.Enterocyte"
"749","SRR5103096.A01.htseq","SI.Stem"
"208","SRR5103583.A01.htseq","SI.Enterocyte.Progenitor"
"750","SRR5102874.A01.htseq","SI.Stem"
"751","NJA00104.B04.htseq","SI.Stem"
"450","SRR5102654.A01.htseq","SI.Goblet"
"752","SRR5102559.A01.htseq","SI.Stem"
"753","SRR5103212.A01.htseq","SI.Stem"
"1662","GFPneg.C1.Singlet.4.C6.htseq","C.Goblet"
"1777","SRR5103456.A01.htseq","SI.Tuft.Cells"
"754","SRR5102831.A01.htseq","SI.Stem"
"1231","SRR5102622.A01.htseq","SI.TA.Cells"
"755","SRR5103190.A01.htseq","SI.Stem"
"756","SRR5102576.A01.htseq","SI.Stem"
"209","SRR5103074.A01.htseq","SI.Enterocyte.Progenitor"
"210","SRR5102995.A01.htseq","SI.Enterocyte.Progenitor"
"757","SRR5103559.A01.htseq","SI.Stem"
"644","SRR5102849.A01.htseq","SI.Paneth"
"758","SRR5102852.A01.htseq","SI.Stem"
"1232","SRR5103439.A01.htseq","SI.TA.Cells"
"759","SRR5102699.A01.htseq","SI.Stem"
"24","SRR5103243.A01.htseq","SI.Early.Enterocyte"
"760","SRR5102834.A01.htseq","SI.Stem"
"1233","NJA00103.C10.htseq","SI.TA.Cells"
"1234","SRR5103611.A01.htseq","SI.TA.Cells"
"25","SRR5103244.A01.htseq","SI.Early.Enterocyte"
"1235","SRR5103446.A01.htseq","SI.TA.Cells"
"451","SRR5103407.A01.htseq","SI.Goblet"
"211","SRR5103632.A01.htseq","SI.Enterocyte.Progenitor"
"1870","GFPneg.SI1.Singlet.2.C5.htseq","Blood.Cells"
"761","SRR5103377.A01.htseq","SI.Stem"
"762","SRR5102825.A01.htseq","SI.Stem"
"26","SRR5102993.A01.htseq","SI.Early.Enterocyte"
"1778","SRR5103455.A01.htseq","SI.Tuft.Cells"
"645","SRR5103231.A01.htseq","SI.Paneth"
"27","SRR5102515.A01.htseq","SI.Early.Enterocyte"
"763","SRR5103101.A01.htseq","SI.Stem"
"28","SRR5103500.A01.htseq","SI.Early.Enterocyte"
"1236","NJA00103.C03.htseq","SI.TA.Cells"
