"","Samples","class"
"241","SRR5103566.A01.htseq","SI.Enterocyte.Progenitor"
"1872","NJA00109.H05.htseq","Blood.Cells"
"1634","NJA00109.E07.htseq","C.Colonocytes"
"46","SRR5103694.A01.htseq","SI.Early.Enterocyte"
"1796","SRR5103327.A01.htseq","SI.Tuft.Cells"
"830","SRR5102994.A01.htseq","SI.Stem"
"831","SRR5102555.A01.htseq","SI.Stem"
"1287","SRR5103178.A01.htseq","SI.TA.Cells"
"1669","NJA00109.C11.htseq","C.Goblet"
"1288","SRR5102118.A01.htseq","SI.TA.Cells"
"586","GFPneg.SI1.Singlet.2.A8.htseq","SI.Late.Enterocyte"
"242","SRR5103772.A01.htseq","SI.Enterocyte.Progenitor"
"587","NJA00103.F08.htseq","SI.Late.Enterocyte"
"1716","GFPpos.C1.Singlet.4.E11.htseq","C.Stem"
"832","SRR5103068.A01.htseq","SI.Stem"
"1289","SRR5103628.A01.htseq","SI.TA.Cells"
"833","SRR5102765.A01.htseq","SI.Stem"
"834","SRR5102726.A01.htseq","SI.Stem"
"468","SRR5103842.A01.htseq","SI.Goblet"
"47","SRR5103199.A01.htseq","SI.Early.Enterocyte"
"1670","NJA00109.C09.htseq","C.Goblet"
"651","SRR5103681.A01.htseq","SI.Paneth"
"1797","SRR5103457.A01.htseq","SI.Tuft.Cells"
"469","SRR5103809.A01.htseq","SI.Goblet"
"835","SRR5103423.A01.htseq","SI.Stem"
"470","SRR5102845.A01.htseq","SI.Goblet"
"836","SRR5103073.A01.htseq","SI.Stem"
"1290","GFPneg.SI1.Singlet.2.A11.htseq","SI.TA.Cells"
"1635","NJA00109.G04.htseq","C.Colonocytes"
"837","SRR5102881.A01.htseq","SI.Stem"
"1291","SRR5103571.A01.htseq","SI.TA.Cells"
"1292","SRR5102442.A01.htseq","SI.TA.Cells"
"838","SRR5102552.A01.htseq","SI.Stem"
"243","SRR5103323.A01.htseq","SI.Enterocyte.Progenitor"
"839","SRR5103443.A01.htseq","SI.Stem"
"1293","SRR5103385.A01.htseq","SI.TA.Cells"
"840","SRR5102610.A01.htseq","SI.Stem"
"471","SRR5103823.A01.htseq","SI.Goblet"
"1294","SRR5103753.A01.htseq","SI.TA.Cells"
"1295","SRR5102998.A01.htseq","SI.TA.Cells"
"841","SRR5102603.A01.htseq","SI.Stem"
"1798","SRR5103257.A01.htseq","SI.Tuft.Cells"
"1296","SRR5102708.A01.htseq","SI.TA.Cells"
"48","SRR5102981.A01.htseq","SI.Early.Enterocyte"
"408","SRR5102518.A01.htseq","SI.Enteroendocrine"
"472","SRR5103254.A01.htseq","SI.Goblet"
"1297","SRR5103302.A01.htseq","SI.TA.Cells"
"1671","NJA00104.H10.htseq","C.Goblet"
"842","SRR5102945.A01.htseq","SI.Stem"
"49","SRR5101961.A01.htseq","SI.Early.Enterocyte"
"843","SRR5102504.A01.htseq","SI.Stem"
"844","SRR5103399.A01.htseq","SI.Stem"
"473","SRR5103620.A01.htseq","SI.Goblet"
"1298","SRR5103195.A01.htseq","SI.TA.Cells"
"1299","SRR5103792.A01.htseq","SI.TA.Cells"
"244","SRR5102796.A01.htseq","SI.Enterocyte.Progenitor"
"50","SRR5103306.A01.htseq","SI.Early.Enterocyte"
"588","SRR5102037.A01.htseq","SI.Late.Enterocyte"
"409","NJA00104.A01.htseq","SI.Enteroendocrine"
"845","SRR5103704.A01.htseq","SI.Stem"
"245","SRR5103642.A01.htseq","SI.Enterocyte.Progenitor"
"846","SRR5103764.A01.htseq","SI.Stem"
"1300","SRR5103001.A01.htseq","SI.TA.Cells"
"246","SRR5103805.A01.htseq","SI.Enterocyte.Progenitor"
"474","NJA00104.D11.htseq","SI.Goblet"
"51","SRR5103721.A01.htseq","SI.Early.Enterocyte"
"1301","SRR5102145.A01.htseq","SI.TA.Cells"
"1302","SRR5102087.A01.htseq","SI.TA.Cells"
"847","SRR5103830.A01.htseq","SI.Stem"
"848","SRR5102456.A01.htseq","SI.Stem"
"652","SRR5103357.A01.htseq","SI.Paneth"
"1303","SRR5103041.A01.htseq","SI.TA.Cells"
"1304","SRR5102806.A01.htseq","SI.TA.Cells"
"247","SRR5102359.A01.htseq","SI.Enterocyte.Progenitor"
"52","SRR5102887.A01.htseq","SI.Early.Enterocyte"
"248","SRR5102530.A01.htseq","SI.Enterocyte.Progenitor"
"475","SRR5103337.A01.htseq","SI.Goblet"
"1672","GFPpos.C1.Singlet.4.A12.htseq","C.Goblet"
"849","SRR5102577.A01.htseq","SI.Stem"
"53","SRR5103354.A01.htseq","SI.Early.Enterocyte"
"1305","SRR5102149.A01.htseq","SI.TA.Cells"
"1873","NJA00102.E03.htseq","Blood.Cells"
"249","SRR5102608.A01.htseq","SI.Enterocyte.Progenitor"
"1306","SRR5103209.A01.htseq","SI.TA.Cells"
"1874","NJA00109.B04.htseq","Blood.Cells"
"1307","NJA00103.B02.htseq","SI.TA.Cells"
"1875","GFPpos.C1.Singlet.4.D11.htseq","Blood.Cells"
"653","SRR5103365.A01.htseq","SI.Paneth"
"54","SRR5103498.A01.htseq","SI.Early.Enterocyte"
"55","SRR5103145.A01.htseq","SI.Early.Enterocyte"
"250","SRR5102068.A01.htseq","SI.Enterocyte.Progenitor"
"1876","NJA00109.G09.htseq","Blood.Cells"
"476","SRR5103495.A01.htseq","SI.Goblet"
"1717","NJA00109.D08.htseq","C.Stem"
"1308","SRR5103318.A01.htseq","SI.TA.Cells"
"654","SRR5103715.A01.htseq","SI.Paneth"
"850","SRR5102770.A01.htseq","SI.Stem"
"851","SRR5102389.A01.htseq","SI.Stem"
"1718","NJA00109.G08.htseq","C.Stem"
"1309","SRR5103058.A01.htseq","SI.TA.Cells"
"852","SRR5102730.A01.htseq","SI.Stem"
"1310","SRR5103142.A01.htseq","SI.TA.Cells"
"589","NJA00103.D08.htseq","SI.Late.Enterocyte"
"251","NJA00102.F10.htseq","SI.Enterocyte.Progenitor"
"1311","SRR5103374.A01.htseq","SI.TA.Cells"
"853","SRR5103554.A01.htseq","SI.Stem"
"1312","NJA00104.C09.htseq","SI.TA.Cells"
"252","SRR5103202.A01.htseq","SI.Enterocyte.Progenitor"
"1313","NJA00102.F03.htseq","SI.TA.Cells"
"854","SRR5102985.A01.htseq","SI.Stem"
"855","SRR5103797.A01.htseq","SI.Stem"
"253","SRR5102382.A01.htseq","SI.Enterocyte.Progenitor"
"856","SRR5102649.A01.htseq","SI.Stem"
"857","SRR5103049.A01.htseq","SI.Stem"
"1799","SRR5102905.A01.htseq","SI.Tuft.Cells"
"858","SRR5103383.A01.htseq","SI.Stem"
"859","SRR5102582.A01.htseq","SI.Stem"
"1314","SRR5103626.A01.htseq","SI.TA.Cells"
"254","SRR5103587.A01.htseq","SI.Enterocyte.Progenitor"
"860","SRR5102808.A01.htseq","SI.Stem"
"861","SRR5103341.A01.htseq","SI.Stem"
"862","SRR5102598.A01.htseq","SI.Stem"
"1315","NJA00104.F01.htseq","SI.TA.Cells"
"1316","SRR5102722.A01.htseq","SI.TA.Cells"
"1317","SRR5102990.A01.htseq","SI.TA.Cells"
"410","SRR5102658.A01.htseq","SI.Enteroendocrine"
"477","SRR5103843.A01.htseq","SI.Goblet"
"590","GFPneg.SI1.Singlet.2.F1.htseq","SI.Late.Enterocyte"
"591","NJA00103.A07.htseq","SI.Late.Enterocyte"
"1719","NJA00109.E09.htseq","C.Stem"
"478","SRR5102982.A01.htseq","SI.Goblet"
"56","SRR5103322.A01.htseq","SI.Early.Enterocyte"
"592","SRR5102342.A01.htseq","SI.Late.Enterocyte"
"863","SRR5103080.A01.htseq","SI.Stem"
"864","SRR5102583.A01.htseq","SI.Stem"
"655","SRR5103370.A01.htseq","SI.Paneth"
"656","SRR5103294.A01.htseq","SI.Paneth"
"1318","SRR5102574.A01.htseq","SI.TA.Cells"
"57","SRR5103116.A01.htseq","SI.Early.Enterocyte"
"479","SRR5102713.A01.htseq","SI.Goblet"
"255","SRR5102989.A01.htseq","SI.Enterocyte.Progenitor"
"256","SRR5103649.A01.htseq","SI.Enterocyte.Progenitor"
"1319","SRR5103263.A01.htseq","SI.TA.Cells"
"480","SRR5103270.A01.htseq","SI.Goblet"
"1720","GFPneg.C1.Singlet.4.A3.htseq","C.Stem"
"593","NJA00102.D11.htseq","SI.Late.Enterocyte"
"481","SRR5103634.A01.htseq","SI.Goblet"
"1800","SRR5102163.A01.htseq","SI.Tuft.Cells"
"1673","GFPpos.C1.Singlet.4.A7.htseq","C.Goblet"
"1320","SRR5102738.A01.htseq","SI.TA.Cells"
"482","SRR5102655.A01.htseq","SI.Goblet"
"1321","SRR5103124.A01.htseq","SI.TA.Cells"
"865","SRR5103251.A01.htseq","SI.Stem"
"1322","SRR5102529.A01.htseq","SI.TA.Cells"
"1323","SRR5103521.A01.htseq","SI.TA.Cells"
"1324","GFPneg.SI1.Singlet.2.F9.htseq","SI.TA.Cells"
"1721","GFPneg.C1.Singlet.4.B5.htseq","C.Stem"
"1325","SRR5102754.A01.htseq","SI.TA.Cells"
"1722","GFPpos.C1.Singlet.4.F10.htseq","C.Stem"
"866","NJA00104.D06.htseq","SI.Stem"
"1326","NJA00103.G10.htseq","SI.TA.Cells"
"1327","SRR5102482.A01.htseq","SI.TA.Cells"
"257","SRR5102120.A01.htseq","SI.Enterocyte.Progenitor"
"657","SRR5103673.A01.htseq","SI.Paneth"
"1328","SRR5103609.A01.htseq","SI.TA.Cells"
"483","SRR5103176.A01.htseq","SI.Goblet"
"1329","SRR5102783.A01.htseq","SI.TA.Cells"
"258","SRR5103585.A01.htseq","SI.Enterocyte.Progenitor"
"58","SRR5103740.A01.htseq","SI.Early.Enterocyte"
"1330","NJA00103.F01.htseq","SI.TA.Cells"
"59","SRR5103563.A01.htseq","SI.Early.Enterocyte"
"867","SRR5103507.A01.htseq","SI.Stem"
"868","NJA00104.G04.htseq","SI.Stem"
"60","SRR5101998.A01.htseq","SI.Early.Enterocyte"
"869","SRR5103793.A01.htseq","SI.Stem"
"1331","SRR5102347.A01.htseq","SI.TA.Cells"
"1723","NJA00109.A04.htseq","C.Stem"
"1332","GFPneg.SI1.Singlet.2.G9.htseq","SI.TA.Cells"
"870","SRR5103010.A01.htseq","SI.Stem"
"1333","NJA00103.G06.htseq","SI.TA.Cells"
"259","SRR5103510.A01.htseq","SI.Enterocyte.Progenitor"
"61","SRR5103487.A01.htseq","SI.Early.Enterocyte"
"1334","SRR5103331.A01.htseq","SI.TA.Cells"
"658","SRR5103661.A01.htseq","SI.Paneth"
"62","SRR5103752.A01.htseq","SI.Early.Enterocyte"
"659","SRR5103359.A01.htseq","SI.Paneth"
"260","SRR5102492.A01.htseq","SI.Enterocyte.Progenitor"
"594","NJA00103.E08.htseq","SI.Late.Enterocyte"
"484","SRR5103430.A01.htseq","SI.Goblet"
"871","SRR5102689.A01.htseq","SI.Stem"
"1335","SRR5103198.A01.htseq","SI.TA.Cells"
"261","SRR5103311.A01.htseq","SI.Enterocyte.Progenitor"
"1336","SRR5103087.A01.htseq","SI.TA.Cells"
"660","SRR5103656.A01.htseq","SI.Paneth"
"1801","SRR5102903.A01.htseq","SI.Tuft.Cells"
"1802","SRR5103255.A01.htseq","SI.Tuft.Cells"
"1337","SRR5103015.A01.htseq","SI.TA.Cells"
"1338","SRR5102660.A01.htseq","SI.TA.Cells"
"63","SRR5102364.A01.htseq","SI.Early.Enterocyte"
"1803","SRR5103284.A01.htseq","SI.Tuft.Cells"
"872","SRR5103057.A01.htseq","SI.Stem"
"1339","SRR5103530.A01.htseq","SI.TA.Cells"
"64","SRR5103348.A01.htseq","SI.Early.Enterocyte"
"1340","SRR5103803.A01.htseq","SI.TA.Cells"
"873","SRR5103042.A01.htseq","SI.Stem"
"874","SRR5102954.A01.htseq","SI.Stem"
"875","SRR5103555.A01.htseq","SI.Stem"
"1724","SRR5102536.A01.htseq","C.Stem"
"65","SRR5103210.A01.htseq","SI.Early.Enterocyte"
"1341","SRR5102426.A01.htseq","SI.TA.Cells"
"595","SRR5103749.A01.htseq","SI.Late.Enterocyte"
"876","SRR5103061.A01.htseq","SI.Stem"
"1725","GFPneg.C1.Singlet.4.A2.htseq","C.Stem"
"877","SRR5102929.A01.htseq","SI.Stem"
"1342","NJA00102.H07.htseq","SI.TA.Cells"
"878","SRR5103664.A01.htseq","SI.Stem"
"1343","SRR5102663.A01.htseq","SI.TA.Cells"
"1726","NJA00109.B03.htseq","C.Stem"
"262","SRR5103002.A01.htseq","SI.Enterocyte.Progenitor"
"485","SRR5103215.A01.htseq","SI.Goblet"
"1344","SRR5102746.A01.htseq","SI.TA.Cells"
"1345","SRR5102646.A01.htseq","SI.TA.Cells"
"1346","NJA00102.A05.htseq","SI.TA.Cells"
"1804","SRR5103476.A01.htseq","SI.Tuft.Cells"
"879","SRR5102757.A01.htseq","SI.Stem"
"880","SRR5102373.A01.htseq","SI.Stem"
"881","SRR5102693.A01.htseq","SI.Stem"
"1347","SRR5103522.A01.htseq","SI.TA.Cells"
"882","SRR5102659.A01.htseq","SI.Stem"
"66","SRR5103692.A01.htseq","SI.Early.Enterocyte"
"883","SRR5103558.A01.htseq","SI.Stem"
"1727","GFPneg.C1.Singlet.4.D1.htseq","C.Stem"
"1348","SRR5103083.A01.htseq","SI.TA.Cells"
"263","SRR5103861.A01.htseq","SI.Enterocyte.Progenitor"
"1728","NJA00109.E02.htseq","C.Stem"
"1349","SRR5102850.A01.htseq","SI.TA.Cells"
"1350","SRR5102893.A01.htseq","SI.TA.Cells"
"264","SRR5103816.A01.htseq","SI.Enterocyte.Progenitor"
"1351","NJA00103.A05.htseq","SI.TA.Cells"
"67","SRR5102485.A01.htseq","SI.Early.Enterocyte"
"884","SRR5103409.A01.htseq","SI.Stem"
"265","SRR5103854.A01.htseq","SI.Enterocyte.Progenitor"
"1729","GFPpos.C1.Singlet.4.A10.htseq","C.Stem"
"1352","SRR5103807.A01.htseq","SI.TA.Cells"
"1353","SRR5103818.A01.htseq","SI.TA.Cells"
"661","SRR5103360.A01.htseq","SI.Paneth"
"885","SRR5102551.A01.htseq","SI.Stem"
"68","SRR5103776.A01.htseq","SI.Early.Enterocyte"
"886","NJA00103.C11.htseq","SI.Stem"
"1354","SRR5102706.A01.htseq","SI.TA.Cells"
"486","SRR5102980.A01.htseq","SI.Goblet"
"887","SRR5102350.A01.htseq","SI.Stem"
"1355","SRR5103639.A01.htseq","SI.TA.Cells"
"888","SRR5103020.A01.htseq","SI.Stem"
"1356","SRR5103621.A01.htseq","SI.TA.Cells"
"1805","SRR5103206.A01.htseq","SI.Tuft.Cells"
"266","SRR5103025.A01.htseq","SI.Enterocyte.Progenitor"
"889","SRR5102522.A01.htseq","SI.Stem"
"890","SRR5102417.A01.htseq","SI.Stem"
"487","SRR5102679.A01.htseq","SI.Goblet"
"1877","GFPneg.SI1.Singlet.2.F6.htseq","Blood.Cells"
"488","SRR5103616.A01.htseq","SI.Goblet"
"1730","GFPpos.C1.Singlet.4.A11.htseq","C.Stem"
"891","SRR5103070.A01.htseq","SI.Stem"
"1357","SRR5103450.A01.htseq","SI.TA.Cells"
"1358","SRR5102749.A01.htseq","SI.TA.Cells"
"1359","SRR5102830.A01.htseq","SI.TA.Cells"
"1360","GFPneg.SI1.Singlet.2.H1.htseq","SI.TA.Cells"
"411","SRR5102824.A01.htseq","SI.Enteroendocrine"
"1361","GFPneg.SI1.Singlet.2.B8.htseq","SI.TA.Cells"
"1731","GFPpos.C1.Singlet.4.B12.htseq","C.Stem"
"489","NJA00103.A11.htseq","SI.Goblet"
"1806","SRR5103454.A01.htseq","SI.Tuft.Cells"
"267","SRR5103789.A01.htseq","SI.Enterocyte.Progenitor"
"892","SRR5102843.A01.htseq","SI.Stem"
"268","SRR5102100.A01.htseq","SI.Enterocyte.Progenitor"
"893","SRR5102853.A01.htseq","SI.Stem"
"1674","NJA00109.A09.htseq","C.Goblet"
"1362","SRR5102061.A01.htseq","SI.TA.Cells"
"596","NJA00103.B08.htseq","SI.Late.Enterocyte"
"69","SRR5102110.A01.htseq","SI.Early.Enterocyte"
"894","SRR5102581.A01.htseq","SI.Stem"
"895","SRR5103425.A01.htseq","SI.Stem"
"269","SRR5102519.A01.htseq","SI.Enterocyte.Progenitor"
"490","SRR5103640.A01.htseq","SI.Goblet"
"896","SRR5103050.A01.htseq","SI.Stem"
"270","SRR5103631.A01.htseq","SI.Enterocyte.Progenitor"
"491","SRR5103733.A01.htseq","SI.Goblet"
"1363","NJA00103.A02.htseq","SI.TA.Cells"
"597","NJA00104.H11.htseq","SI.Late.Enterocyte"
"897","SRR5102720.A01.htseq","SI.Stem"
"898","SRR5102701.A01.htseq","SI.Stem"
"662","SRR5103848.A01.htseq","SI.Paneth"
"899","SRR5103863.A01.htseq","SI.Stem"
"900","SRR5102573.A01.htseq","SI.Stem"
"901","SRR5102644.A01.htseq","SI.Stem"
"902","SRR5103542.A01.htseq","SI.Stem"
"903","SRR5103841.A01.htseq","SI.Stem"
"1675","NJA00109.B11.htseq","C.Goblet"
"904","SRR5103736.A01.htseq","SI.Stem"
"492","SRR5103811.A01.htseq","SI.Goblet"
"271","SRR5103247.A01.htseq","SI.Enterocyte.Progenitor"
"663","SRR5103689.A01.htseq","SI.Paneth"
"905","SRR5102629.A01.htseq","SI.Stem"
"1364","SRR5103314.A01.htseq","SI.TA.Cells"
"412","SRR5102992.A01.htseq","SI.Enteroendocrine"
"493","SRR5103635.A01.htseq","SI.Goblet"
"1365","SRR5102971.A01.htseq","SI.TA.Cells"
"1676","NJA00109.F11.htseq","C.Goblet"
"906","SRR5102533.A01.htseq","SI.Stem"
"1366","NJA00104.F06.htseq","SI.TA.Cells"
"1367","GFPneg.SI1.Singlet.2.F10.htseq","SI.TA.Cells"
"70","SRR5102093.A01.htseq","SI.Early.Enterocyte"
"1732","GFPneg.C1.Singlet.4.E2.htseq","C.Stem"
"494","SRR5102391.A01.htseq","SI.Goblet"
"907","SRR5102602.A01.htseq","SI.Stem"
"598","SRR5102023.A01.htseq","SI.Late.Enterocyte"
"1368","SRR5103573.A01.htseq","SI.TA.Cells"
"1807","SRR5102910.A01.htseq","SI.Tuft.Cells"
"272","SRR5102798.A01.htseq","SI.Enterocyte.Progenitor"
"908","SRR5103069.A01.htseq","SI.Stem"
"909","SRR5102771.A01.htseq","SI.Stem"
"273","NJA00103.B09.htseq","SI.Enterocyte.Progenitor"
"599","NJA00103.F04.htseq","SI.Late.Enterocyte"
"1369","SRR5103610.A01.htseq","SI.TA.Cells"
"274","SRR5103157.A01.htseq","SI.Enterocyte.Progenitor"
"1808","SRR5102489.A01.htseq","SI.Tuft.Cells"
"71","SRR5103139.A01.htseq","SI.Early.Enterocyte"
"275","SRR5103593.A01.htseq","SI.Enterocyte.Progenitor"
"495","SRR5103201.A01.htseq","SI.Goblet"
"1370","NJA00103.A04.htseq","SI.TA.Cells"
"1371","SRR5103514.A01.htseq","SI.TA.Cells"
"276","SRR5101957.A01.htseq","SI.Enterocyte.Progenitor"
"910","SRR5103386.A01.htseq","SI.Stem"
"72","GFPneg.SI1.Singlet.2.E5.htseq","SI.Early.Enterocyte"
"911","SRR5103376.A01.htseq","SI.Stem"
"1372","SRR5102470.A01.htseq","SI.TA.Cells"
"277","NJA00104.D01.htseq","SI.Enterocyte.Progenitor"
"1636","GFPpos.C1.Singlet.4.F11.htseq","C.Colonocytes"
"1373","SRR5102531.A01.htseq","SI.TA.Cells"
"1374","SRR5102711.A01.htseq","SI.TA.Cells"
"278","NJA00104.G09.htseq","SI.Enterocyte.Progenitor"
"912","SRR5103724.A01.htseq","SI.Stem"
"1809","SRR5103280.A01.htseq","SI.Tuft.Cells"
"73","SRR5102523.A01.htseq","SI.Early.Enterocyte"
"913","SRR5102740.A01.htseq","SI.Stem"
"1375","NJA00104.A07.htseq","SI.TA.Cells"
"1376","SRR5103852.A01.htseq","SI.TA.Cells"
"74","SRR5103135.A01.htseq","SI.Early.Enterocyte"
"496","SRR5103017.A01.htseq","SI.Goblet"
"75","SRR5103350.A01.htseq","SI.Early.Enterocyte"
"497","SRR5103484.A01.htseq","SI.Goblet"
"76","NJA00102.E02.htseq","SI.Early.Enterocyte"
"77","SRR5103181.A01.htseq","SI.Early.Enterocyte"
"1377","SRR5102612.A01.htseq","SI.TA.Cells"
"1378","SRR5103179.A01.htseq","SI.TA.Cells"
"279","SRR5102143.A01.htseq","SI.Enterocyte.Progenitor"
"914","SRR5103034.A01.htseq","SI.Stem"
"915","SRR5103147.A01.htseq","SI.Stem"
"1637","NJA00109.A08.htseq","C.Colonocytes"
"916","SRR5103380.A01.htseq","SI.Stem"
"917","SRR5102732.A01.htseq","SI.Stem"
"78","NJA00102.B08.htseq","SI.Early.Enterocyte"
"918","SRR5103398.A01.htseq","SI.Stem"
"664","SRR5103655.A01.htseq","SI.Paneth"
"498","SRR5102486.A01.htseq","SI.Goblet"
"79","NJA00104.D10.htseq","SI.Early.Enterocyte"
"1810","NJA00103.B05.htseq","SI.Tuft.Cells"
"919","SRR5102428.A01.htseq","SI.Stem"
"920","SRR5102734.A01.htseq","SI.Stem"
"499","SRR5101966.A01.htseq","SI.Goblet"
"1379","SRR5102957.A01.htseq","SI.TA.Cells"
"1733","NJA00109.H02.htseq","C.Stem"
"1811","SRR5103480.A01.htseq","SI.Tuft.Cells"
"921","SRR5102766.A01.htseq","SI.Stem"
"280","SRR5102826.A01.htseq","SI.Enterocyte.Progenitor"
"500","SRR5103343.A01.htseq","SI.Goblet"
"1734","GFPneg.C1.Singlet.4.F2.htseq","C.Stem"
"922","SRR5102860.A01.htseq","SI.Stem"
"1638","NJA00109.G07.htseq","C.Colonocytes"
"1639","NJA00109.G12.htseq","C.Colonocytes"
"281","SRR5103824.A01.htseq","SI.Enterocyte.Progenitor"
"501","SRR5102799.A01.htseq","SI.Goblet"
"600","SRR5102001.A01.htseq","SI.Late.Enterocyte"
"923","SRR5102668.A01.htseq","SI.Stem"
"665","SRR5103670.A01.htseq","SI.Paneth"
"1380","SRR5103553.A01.htseq","SI.TA.Cells"
"502","SRR5102481.A01.htseq","SI.Goblet"
"1381","NJA00104.B06.htseq","SI.TA.Cells"
"924","SRR5102601.A01.htseq","SI.Stem"
"1382","SRR5103103.A01.htseq","SI.TA.Cells"
"925","SRR5102366.A01.htseq","SI.Stem"
"1735","GFPneg.C1.Singlet.4.G5.htseq","C.Stem"
"1383","NJA00103.B06.htseq","SI.TA.Cells"
"282","SRR5103601.A01.htseq","SI.Enterocyte.Progenitor"
"80","SRR5103171.A01.htseq","SI.Early.Enterocyte"
"926","SRR5102083.A01.htseq","SI.Stem"
"283","SRR5103503.A01.htseq","SI.Enterocyte.Progenitor"
"81","SRR5103249.A01.htseq","SI.Early.Enterocyte"
"82","SRR5102526.A01.htseq","SI.Early.Enterocyte"
"1736","GFPneg.C1.Singlet.4.G3.htseq","C.Stem"
"284","SRR5102400.A01.htseq","SI.Enterocyte.Progenitor"
"1737","NJA00109.C07.htseq","C.Stem"
"285","SRR5103245.A01.htseq","SI.Enterocyte.Progenitor"
"83","NJA00102.G01.htseq","SI.Early.Enterocyte"
"1384","SRR5103862.A01.htseq","SI.TA.Cells"
"927","SRR5102855.A01.htseq","SI.Stem"
"666","SRR5102678.A01.htseq","SI.Paneth"
"928","SRR5102077.A01.htseq","SI.Stem"
"84","SRR5102376.A01.htseq","SI.Early.Enterocyte"
"85","SRR5103490.A01.htseq","SI.Early.Enterocyte"
"1385","GFPneg.SI1.Singlet.2.D7.htseq","SI.TA.Cells"
"929","SRR5102931.A01.htseq","SI.Stem"
"930","SRR5102549.A01.htseq","SI.Stem"
"503","SRR5102158.A01.htseq","SI.Goblet"
"931","SRR5103762.A01.htseq","SI.Stem"
"286","SRR5103151.A01.htseq","SI.Enterocyte.Progenitor"
"86","NJA00103.C08.htseq","SI.Early.Enterocyte"
"932","SRR5103779.A01.htseq","SI.Stem"
"601","SRR5102370.A01.htseq","SI.Late.Enterocyte"
"933","SRR5102596.A01.htseq","SI.Stem"
"1386","NJA00103.E04.htseq","SI.TA.Cells"
"1812","SRR5103464.A01.htseq","SI.Tuft.Cells"
"1387","SRR5103600.A01.htseq","SI.TA.Cells"
"934","SRR5103107.A01.htseq","SI.Stem"
"87","SRR5103315.A01.htseq","SI.Early.Enterocyte"
"935","SRR5102460.A01.htseq","SI.Stem"
"936","SRR5102704.A01.htseq","SI.Stem"
"287","SRR5103418.A01.htseq","SI.Enterocyte.Progenitor"
"1388","SRR5102096.A01.htseq","SI.TA.Cells"
"1389","SRR5103775.A01.htseq","SI.TA.Cells"
"288","SRR5103778.A01.htseq","SI.Enterocyte.Progenitor"
"1390","SRR5103177.A01.htseq","SI.TA.Cells"
"88","SRR5102368.A01.htseq","SI.Early.Enterocyte"
"937","SRR5102759.A01.htseq","SI.Stem"
"938","NJA00103.A10.htseq","SI.Stem"
"504","SRR5103727.A01.htseq","SI.Goblet"
"939","SRR5102964.A01.htseq","SI.Stem"
"940","SRR5102554.A01.htseq","SI.Stem"
"941","SRR5103113.A01.htseq","SI.Stem"
"942","SRR5103442.A01.htseq","SI.Stem"
"1391","SRR5103627.A01.htseq","SI.TA.Cells"
"413","NJA00104.B03.htseq","SI.Enteroendocrine"
"667","SRR5103747.A01.htseq","SI.Paneth"
"1392","SRR5102694.A01.htseq","SI.TA.Cells"
"1393","SRR5103707.A01.htseq","SI.TA.Cells"
"668","SRR5103211.A01.htseq","SI.Paneth"
"943","SRR5102597.A01.htseq","SI.Stem"
"1394","SRR5103774.A01.htseq","SI.TA.Cells"
"669","SRR5102866.A01.htseq","SI.Paneth"
"89","SRR5102875.A01.htseq","SI.Early.Enterocyte"
"289","SRR5103494.A01.htseq","SI.Enterocyte.Progenitor"
"1813","SRR5103183.A01.htseq","SI.Tuft.Cells"
"1395","SRR5102607.A01.htseq","SI.TA.Cells"
"290","SRR5103614.A01.htseq","SI.Enterocyte.Progenitor"
"291","SRR5103826.A01.htseq","SI.Enterocyte.Progenitor"
"292","SRR5103570.A01.htseq","SI.Enterocyte.Progenitor"
"944","SRR5103204.A01.htseq","SI.Stem"
"1396","SRR5103586.A01.htseq","SI.TA.Cells"
"90","SRR5103731.A01.htseq","SI.Early.Enterocyte"
"945","SRR5103047.A01.htseq","SI.Stem"
"293","SRR5102443.A01.htseq","SI.Enterocyte.Progenitor"
"91","SRR5101953.A01.htseq","SI.Early.Enterocyte"
"505","SRR5103598.A01.htseq","SI.Goblet"
"1397","SRR5102753.A01.htseq","SI.TA.Cells"
"1398","SRR5102643.A01.htseq","SI.TA.Cells"
"946","SRR5103448.A01.htseq","SI.Stem"
"947","SRR5103801.A01.htseq","SI.Stem"
"1399","NJA00104.A06.htseq","SI.TA.Cells"
"506","SRR5103597.A01.htseq","SI.Goblet"
"92","SRR5102975.A01.htseq","SI.Early.Enterocyte"
"414","SRR5102491.A01.htseq","SI.Enteroendocrine"
"948","SRR5103451.A01.htseq","SI.Stem"
"949","SRR5102588.A01.htseq","SI.Stem"
"1400","SRR5102621.A01.htseq","SI.TA.Cells"
"670","SRR5103728.A01.htseq","SI.Paneth"
"950","SRR5102827.A01.htseq","SI.Stem"
"507","SRR5102938.A01.htseq","SI.Goblet"
"294","SRR5102152.A01.htseq","SI.Enterocyte.Progenitor"
"295","SRR5102065.A01.htseq","SI.Enterocyte.Progenitor"
"296","SRR5103351.A01.htseq","SI.Enterocyte.Progenitor"
"93","SRR5102453.A01.htseq","SI.Early.Enterocyte"
"1401","SRR5102710.A01.htseq","SI.TA.Cells"
"951","SRR5102393.A01.htseq","SI.Stem"
"952","SRR5102926.A01.htseq","SI.Stem"
"953","SRR5103089.A01.htseq","SI.Stem"
"1814","SRR5102920.A01.htseq","SI.Tuft.Cells"
